Year,Month,All Cause,Natural Cause,Septicemia,Diseases of Heart
2014,1,243298,226621,3944,58229
2014,2,211980,197001,3214,50435
2014,3,228477,212045,3451,54347
2014,4,215600,199454,3125,50954
2014,5,216862,199843,3105,50810
2014,6,204687,187644,2947,47144
2014,7,209373,192035,3112,47991
2014,8,208013,190204,2931,47109
2014,9,205274,188322,2918,46909
2014,10,218147,200741,3203,50401
2014,11,221317,204268,3192,52027
2014,12,243390,225948,3798,57992
2019,1,257649,237219,3580,60675
2019,2,232821,214074,3257,54835
2019,3,254929,234074,3559,59728
2019,4,235254,215336,3254,54920
2019,5,236893,215726,3089,54985
2019,6,225422,204218,2886,51680
2019,7,229211,207062,3015,52335
2019,8,227280,205220,2893,51346
2019,9,222715,201663,2952,50100
2019,10,237661,216275,3186,53795
2019,11,239028,218156,3176,54979
2019,12,255975,234438,3584,59663
